symbol,name,sector,subsector,status,instrument_type,board,listing_date,special_notation,source_as_of
MKAP,Multikarya Asia Pasifik Raya T,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,12 Feb 2024,,2026-08-27
MEJA,Harta Djaya Karya Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Akselerasi,12 Feb 2024,,2026-08-27
LIVE,Homeco Victoria Makmur Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,12 Feb 2024,,2026-08-27
HYGN,Ecocare Indo Pasifik Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,13 Feb 2024,,2026-08-27
BAIK,Bersama Mencapai Puncak Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,15 Feb 2024,,2026-08-27
VISI,Satu Visi Putra Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,27 Feb 2024,,2026-08-27
AREA,Dunia Virtual Online Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,01 Apr 2024,,2026-08-27
MHKI,Multi Hanna Kreasindo Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,16 Apr 2024,,2026-08-27
ATLA,Atlantis Subsea Indonesia Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,16 Apr 2024,,2026-08-27
DATA,Remala Abadi Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,07 Mei 2024,,2026-08-27
SOLA,Xolare RCR Energy Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,08 Mei 2024,,2026-08-27
BATR,Benteng Api Technic Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,10 Jun 2024,,2026-08-27
SPRE,Soraya Berjaya Indonesia Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Akselerasi,03 Jul 2024,,2026-08-27
PART,Cipta Perdana Lancar Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,05 Jul 2024,,2026-08-27
GOLF,Intra Golflink Resorts Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Utama,08 Jul 2024,,2026-08-27
ISEA,Indo American Seafoods Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,08 Jul 2024,,2026-08-27
BLES,Superior Prima Sukses Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,08 Jul 2024,,2026-08-27
GUNA,Gunanusa Eramandiri Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,09 Jul 2024,,2026-08-27
LABS,UBC Medical Indonesia Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,10 Jul 2024,,2026-08-27
DOSS,Global Sukses Digital Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,07 Agt 2024,,2026-08-27
NEST,Esta Indonesia Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,08 Agt 2024,,2026-08-27
PTMR,Master Print Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pemantauan Khusus,08 Okt 2024,,2026-08-27
VERN,Verona Indah Pictures Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,08 Okt 2024,,2026-08-27
DAAZ,Daaz Bara Lestari Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Utama,11 Nov 2024,,2026-08-27
BOAT,Newport Marine Services Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,12 Nov 2024,,2026-08-27
NAIK,Adiwarna Anugerah Abadi Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,13 Nov 2024,,2026-08-27
AADI,Adaro Andalan Indonesia Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Utama,05 Des 2024,,2026-08-27
MDIY,Daya Intiguna Yasa Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Utama,19 Des 2024,,2026-08-27
KSIX,Kentanix Supra International T,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,08 Jan 2025,,2026-08-27
RATU,Raharja Energi Cepu Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,08 Jan 2025,,2026-08-27
YOII,Asuransi Digital Bersama Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,08 Jan 2025,,2026-08-27
HGII,Hero Global Investment Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,09 Jan 2025,,2026-08-27
BRRC,Raja Roti Cemerlang Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,09 Jan 2025,,2026-08-27
DGWG,Delta Giri Wacana Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Utama,13 Jan 2025,,2026-08-27
CBDK,Bangun Kosambi Sukses Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Utama,13 Jan 2025,,2026-08-27
OBAT,Brigit Biofarmaka Teknologi Tb,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,13 Jan 2025,,2026-08-27
MINE,Sinar Terang Mandiri Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,10 Mar 2025,,2026-08-27
KAQI,Jantra Grupo Indonesia Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,10 Mar 2025,,2026-08-27
YUPI,Yupi Indo Jelly Gum Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Utama,25 Mar 2025,,2026-08-27
FORE,Fore Kopi Indonesia Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,14 Apr 2025,,2026-08-27
MDLA,Medela Potentia Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Utama,15 Apr 2025,,2026-08-27
DKHH,Cipta Sarana Medika Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,08 Mei 2025,,2026-08-27
ASPR,Asia Pramulia Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,08 Jul 2025,,2026-08-27
PSAT,Pancaran Samudera Transport Tb,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,08 Jul 2025,,2026-08-27
COIN,Indokripto Koin Semesta Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,09 Jul 2025,,2026-08-27
CDIA,Chandra Daya Investasi Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,09 Jul 2025,,2026-08-27
BLOG,Trimitra Trans Persada Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Utama,10 Jul 2025,,2026-08-27
MERI,Merry Riana Edukasi Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,10 Jul 2025,,2026-08-27
CHEK,Diastika Biotekindo Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,10 Jul 2025,,2026-08-27
PMUI,Prima Multi Usaha Indonesia Tb,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,10 Jul 2025,,2026-08-27
EMAS,Merdeka Gold Resources Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,23 Sep 2025,,2026-08-27
PJHB,Pelayaran Jaya Hidup Baru Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,06 Nov 2025,,2026-08-27
RLCO,Abadi Lestari Indonesia Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,08 Des 2025,,2026-08-27
SUPA,Super Bank Indonesia Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,17 Des 2025,,2026-08-27
WBSA,BSA Logistics Indonesia Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,10 Apr 2026,,2026-08-27
JECX,Nitrasanata Dharma Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Utama,07 Jul 2026,,2026-08-27
JELI,Niramas Utama Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,07 Jul 2026,,2026-08-27
EMMI,Esa Medika Mandiri Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,08 Jul 2026,,2026-08-27
BACH,Bach Multi Global Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Utama,08 Jul 2026,,2026-08-27
PRDL,Prodia Diagnostic Line Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,09 Jul 2026,,2026-08-27
RANS,Rans Entertainmen Indonesia Tb,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,10 Jul 2026,,2026-08-27
AALI,Astra Agro Lestari Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Utama,09 Des 1997,,2026-08-27
ABBA,Mahaka Media Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pemantauan Khusus,03 Apr 2002,,2026-08-27
ABDA,Asuransi Bina Dana Arta Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,06 Jul 1989,,2026-08-27
ABMM,ABM Investama Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Utama,06 Des 2011,,2026-08-27
ACES,Aspirasi Hidup Indonesia Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Utama,06 Nov 2007,,2026-08-27
ACST,Acset Indonusa Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pemantauan Khusus,24 Jun 2013,,2026-08-27
ADES,Akasha Wira International Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pemantauan Khusus,13 Jun 1994,,2026-08-27
ADHI,Adhi Karya (Persero) Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Utama,18 Mar 2004,,2026-08-27
ADMF,Adira Dinamika Multi Finance T,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,31 Mar 2004,,2026-08-27
ADMG,Polychem Indonesia Tbk,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,20 Okt 1993,,2026-08-27
ADRO,Alamtri Resources Indonesia Tb,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Utama,16 Jul 2008,,2026-08-27
AGII,Samator Indo Gas Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,28 Sep 2016,,2026-08-27
AGRO,Bank Raya Indonesia Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Utama,08 Agt 2003,,2026-08-27
AGRS,Bank IBK Indonesia Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,22 Des 2014,,2026-08-27
AHAP,Asuransi Harta Aman Pratama Tb,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,14 Sep 1990,,2026-08-27
AIMS,Artha Mahiya Investama Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,20 Jul 2001,,2026-08-27
AISA,FKS Food Sejahtera Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Utama,11 Jun 1997,,2026-08-27
AKKU,Anugerah Kagum Karya Utama Tbk,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pemantauan Khusus,01 Nov 2004,,2026-08-27
AKPI,Argha Karya Prima Industry Tbk,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,18 Des 1992,,2026-08-27
AKRA,AKR Corporindo Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Utama,03 Okt 1994,,2026-08-27
AKSI,Mineral Sumberdaya Mandiri Tbk,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,13 Jul 2001,,2026-08-27
ALDO,Alkindo Naratama Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Utama,12 Jul 2011,,2026-08-27
ALKA,Alakasa Industrindo Tbk,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,12 Jul 1990,,2026-08-27
ALMI,Alumindo Light Metal Industry,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pemantauan Khusus,02 Jan 1997,,2026-08-27
ALTO,Tri Banyan Tirta Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pemantauan Khusus,10 Jul 2012,,2026-08-27
AMAG,Asuransi Multi Artha Guna Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Utama,23 Des 2005,,2026-08-27
AMFG,Asahimas Flat Glass Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,08 Nov 1995,,2026-08-27
AMIN,Ateliers Mecaniques D Indonesi,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,10 Des 2015,,2026-08-27
AMRT,Sumber Alfaria Trijaya Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Utama,15 Jan 2009,,2026-08-27
ANJT,Austindo Nusantara Jaya Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,08 Mei 2013,,2026-08-27
ANTM,ANTAM (Persero) Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Utama,27 Nov 1997,,2026-08-27
APEX,Apexindo Pratama Duta Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,05 Jun 2013,,2026-08-27
APIC,Pacific Strategic Financial Tb,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,18 Des 2002,,2026-08-27
APII,Arita Prima Indonesia Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,29 Okt 2013,,2026-08-27
APLI,Asiaplast Industries Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,01 Mei 2000,,2026-08-27
APLN,Agung Podomoro Land Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Utama,11 Nov 2010,,2026-08-27
ARGO,Argo Pantes Tbk,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,07 Jan 1991,,2026-08-27
ARII,Atlas Resources Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,08 Nov 2011,,2026-08-27
ARNA,Arwana Citramulia Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Utama,17 Jul 2001,,2026-08-27
ARTA,Arthavest Tbk,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,05 Nov 2002,,2026-08-27
ARTI,Ratu Prabu Energi Tbk,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pemantauan Khusus,30 Apr 2003,,2026-08-27
ARTO,Bank Jago Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Utama,12 Jan 2016,,2026-08-27
ASBI,Asuransi Bintang Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,29 Nov 1989,,2026-08-27
ASDM,Asuransi Dayin Mitra Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,15 Des 1989,,2026-08-27
ASGR,Astra Graphia Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Utama,15 Nov 1989,,2026-08-27
ASII,Astra International Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Utama,04 Apr 1990,,2026-08-27
ASJT,Asuransi Jasa Tania Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,23 Des 2003,,2026-08-27
ASMI,Asuransi Maximus Graha Persada,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pemantauan Khusus,16 Jan 2014,,2026-08-27
ASRI,Alam Sutera Realty Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Utama,18 Des 2007,,2026-08-27
ASRM,Asuransi Ramayana Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,19 Mar 1990,,2026-08-27
ASSA,Adi Sarana Armada Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Utama,12 Nov 2012,,2026-08-27
ATIC,Anabatic Technologies Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,08 Jul 2015,,2026-08-27
AUTO,Astra Otoparts Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Utama,15 Jun 1998,,2026-08-27
BABP,Bank MNC Internasional Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,15 Jul 2002,,2026-08-27
BACA,Bank Capital Indonesia Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Utama,04 Okt 2007,,2026-08-27
BAJA,Saranacentral Bajatama Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pemantauan Khusus,21 Des 2011,,2026-08-27
BALI,Bali Towerindo Sentra Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Utama,13 Mar 2014,,2026-08-27
BAPA,Bekasi Asri Pemula Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,14 Jan 2008,,2026-08-27
BATA,Sepatu Bata Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pemantauan Khusus,24 Mar 1982,,2026-08-27
BAYU,Bayu Buana Tbk,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Utama,30 Okt 1989,,2026-08-27
BBCA,Bank Central Asia Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Utama,31 Mei 2000,,2026-08-27
BBHI,Allo Bank Indonesia Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Utama,12 Agt 2015,,2026-08-27
BBKP,Bank KB Indonesia Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,10 Jul 2006,,2026-08-27
BBLD,Buana Finance Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,07 Mei 1990,,2026-08-27
BBMD,Bank Mestika Dharma Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Utama,08 Jul 2013,,2026-08-27
BBNI,Bank Negara Indonesia (Persero,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Utama,25 Nov 1996,,2026-08-27
BBRI,Bank Rakyat Indonesia (Persero,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Utama,10 Nov 2003,,2026-08-27
BBRM,Pelayaran Nasional Bina Buana,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,09 Jan 2013,,2026-08-27
BBTN,Bank Tabungan Negara (Persero),,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Utama,17 Des 2009,,2026-08-27
BBYB,Bank Neo Commerce Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Utama,13 Jan 2015,,2026-08-27
BCAP,MNC Kapital Indonesia Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Utama,08 Jun 2001,,2026-08-27
BCIC,Bank JTrust Indonesia Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,25 Jun 1997,,2026-08-27
BCIP,Bumi Citra Permai Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,11 Des 2009,,2026-08-27
BDMN,Bank Danamon Indonesia Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Utama,06 Des 1989,,2026-08-27
BEKS,Bank Pembangunan Daerah Banten,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pemantauan Khusus,13 Jul 2001,,2026-08-27
BEST,Bekasi Fajar Industrial Estate,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Utama,10 Apr 2012,,2026-08-27
BFIN,BFI Finance  Indonesia Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Utama,16 Mei 1990,,2026-08-27
BGTG,Bank Ganesha Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Utama,12 Mei 2016,,2026-08-27
BHIT,MNC Asia Holding Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pemantauan Khusus,24 Nov 1997,,2026-08-27
BIKA,Binakarya Jaya Abadi Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pemantauan Khusus,14 Jul 2015,,2026-08-27
BIMA,Primarindo Asia Infrastructure,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pemantauan Khusus,30 Agt 1994,,2026-08-27
BINA,Bank Ina Perdana Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Utama,16 Jan 2014,,2026-08-27
BIPI,Astrindo Nusantara Infrastrukt,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,11 Feb 2010,,2026-08-27
BIPP,Bhuwanatala Indah Permai Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,23 Okt 1995,,2026-08-27
BIRD,Blue Bird Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Utama,05 Nov 2014,,2026-08-27
BISI,BISI International Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Utama,28 Mei 2007,,2026-08-27
BJBR,Bank Pembangunan Daerah Jawa B,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Utama,08 Jul 2010,,2026-08-27
BJTM,Bank Pembangunan Daerah Jawa T,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Utama,12 Jul 2012,,2026-08-27
BKDP,Bukit Darmo Property Tbk,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,15 Jun 2007,,2026-08-27
BKSL,Sentul City Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Utama,28 Jul 1997,,2026-08-27
BKSW,Bank QNB Indonesia Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,21 Nov 2002,,2026-08-27
BLTA,Berlian Laju Tanker Tbk,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pemantauan Khusus,26 Mar 1990,,2026-08-27
BLTZ,Graha Layar Prima Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pemantauan Khusus,10 Apr 2014,,2026-08-27
BMAS,Bank Kasikorn Indonesia Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,11 Jul 2013,,2026-08-27
BMRI,Bank Mandiri (Persero) Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Utama,14 Jul 2003,,2026-08-27
BMSR,Bintang Mitra Semestaraya Tbk,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,29 Des 1999,,2026-08-27
BMTR,Global Mediacom Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Utama,17 Jul 1995,,2026-08-27
BNBA,Bank Bumi Arta Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,01 Jun 2006,,2026-08-27
BNBR,Bakrie & Brothers Tbk,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,28 Agt 1989,,2026-08-27
BNGA,Bank CIMB Niaga Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Utama,29 Nov 1989,,2026-08-27
BNII,Bank Maybank Indonesia Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Utama,21 Nov 1989,,2026-08-27
BNLI,Bank Permata Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Utama,15 Jan 1990,,2026-08-27
BOLT,Garuda Metalindo Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,07 Jul 2015,,2026-08-27
BPFI,Woori Finance Indonesia Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,01 Jun 2009,,2026-08-27
BPII,Batavia Prosperindo Internasio,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,08 Jul 2014,,2026-08-27
BRAM,Indo Kordsa Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,05 Sep 1990,,2026-08-27
BRMS,Bumi Resources Minerals Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Utama,09 Des 2010,,2026-08-27
BRNA,Berlina Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,06 Nov 1989,,2026-08-27
BRPT,Barito Pacific Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Utama,01 Okt 1993,,2026-08-27
BSDE,Bumi Serpong Damai Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Utama,06 Jun 2008,,2026-08-27
BSIM,Bank Sinarmas Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Utama,13 Des 2010,,2026-08-27
BSSR,Baramulti Suksessarana Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Utama,08 Nov 2012,,2026-08-27
BSWD,Bank Of India Indonesia Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pemantauan Khusus,01 Mei 2002,,2026-08-27
BTEK,Bumi Teknokultura Unggul Tbk,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pemantauan Khusus,14 Mei 2004,,2026-08-27
BTEL,Bakrie Telecom Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pemantauan Khusus,03 Feb 2006,,2026-08-27
BTON,Betonjaya Manunggal Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,18 Jul 2001,,2026-08-27
BTPN,Bank SMBC Indonesia Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Utama,12 Mar 2008,,2026-08-27
BUDI,Budi Starch & Sweetener Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Utama,08 Mei 1995,,2026-08-27
BUKK,Bukaka Teknik Utama Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,29 Jun 2015,,2026-08-27
BULL,Buana Lintas Lautan Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,23 Mei 2011,,2026-08-27
BUMI,Bumi Resources Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Utama,30 Jul 1990,,2026-08-27
BUVA,Bukit Uluwatu Villa Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pengembangan,12 Jul 2010,,2026-08-27
BVIC,Bank Victoria International Tb,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Utama,30 Jun 1999,,2026-08-27
BWPT,Eagle High Plantations Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Utama,27 Okt 2009,,2026-08-27
BYAN,Bayan Resources Tbk.,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Utama,12 Agt 2008,,2026-08-27
CANI,Capitol Nusantara Indonesia Tb,,,ACTIVE,COMMON_STOCK_UNCLASSIFIED,Pemantauan Khusus,16 Jan 2014,,2026-08-27
